rule_number,rule_name,duration,waive,setup_warning,warning,error,fatal
0,parsing: Rule 0,552.720,0,0,1,0,0
1103,Check if the correct related power pins are used in a liberty file: Rule 1103,18.364,0,0,0,0,0
15105,Naming convention check for buses: Rule 15105,6.280,0,1,0,0,0
15106,Check for the presence of a file: Rule 15106,1.912,0,0,0,0,0
15112,Pin direction check: Rule 15112,2.588,0,0,0,0,0
15118,Check power and ground pin names: Rule 15118,2.140,0,0,0,0,0
15122,Liberty vs UPF: Rule 15122,2.301,0,0,0,0,0
15133,Analog bidirectional pins check: Rule 15133,4.283,0,0,0,0,0
15206,Layer presence check: Rule 15206,3.292,0,0,0,0,0
15211,Pin location check: Rule 15211,4.604,0,0,0,0,0
15214,Polygon covered by BOUNDARY check: Rule 15214,1.112,0,0,0,0,0
15217,Pin width and length check: Rule 15217,1.177,0,0,0,0,0
15301,LEF CLASS check: Rule 15301,0.818,0,0,0,0,0
15302,LEF ORIGIN and SIZE check: Rule 15302,1.226,0,0,0,0,0
15304,LEF MACRO check: Rule 15304,4.725,0,0,0,0,0
15305,LEF HEADER check: Rule 15305,2.384,0,0,0,0,0
15306,LEF SYMMETRY check: Rule 15306,1.964,1,0,0,0,0
15308,LEF double PINS and rectangles check: Rule 15308,3.969,0,0,0,0,0
15315,LEF presence of sheet and detailed OBS layers check: Rule 15315,2.401,0,1,0,0,0
16002,compiles-lib-in-current-environment: Rule 16002,497.197,0,0,0,0,0
16015,Check-for-PIN-types-defined-in-attribute.xml: Rule 16015,0.623,0,0,0,0,0
16024,Check-for-ip2sd-error-messages: Rule 16024,0.761,0,0,6,0,0
16026,NDM-load-ability-check: Rule 16026,66.924,0,0,0,0,0
16029,Reports-UPF-sourcing-errors: Rule 16029,0.678,0,0,0,0,0
16048,Checks-attribute-value-in-attribute.XML: Rule 16048,1.050,0,0,1,0,0
16107,Liberty-file-naming-rule-check.: Rule 16107,3.271,0,0,0,0,0
16108,Analog-attribute-consistency-check: Rule 16108,2.007,0,0,1,0,0
16109,PSC-CSV-check: Rule 16109,4.076,0,0,0,9,0
16206,Hipspec-Compliance-check: Rule 16206,1.532,0,0,0,0,0
16215,Checks-that-pins-matching-the-bus-naming-convention-is-defined-within-buses: Rule 16215,1.801,0,0,0,0,0
16217,Flags-pins-that-have-illegal-related_pin-on-timing-arcs: Rule 16217,6.646,0,0,0,0,0
16225,Flags-errors-thrown-by-ship---swizzle-stage: Rule 16225,2.201,0,0,2,0,0
16227,Check-for-custom-cfs: Rule 16227,1.621,0,0,0,0,0
16350,Flags-absolute-links-within-a-directory: Rule 16350,2.379,0,0,0,0,0
16510,Generic-attribute-conditions-check: Rule 16510,6.032,0,1,0,8,0
16704,Runs-OCV-presence-checks: Rule 16704,4.798,0,0,0,9184,0
16712,Flags-duplicate-pvts: Rule 16712,3.783,0,0,0,0,0
21,cell presence contents check: Rule 21,5.529,0,0,0,0,0
"31,32","pin quantity check: Rule 31,32",2.974,0,0,0,0,0
7309,Check pin properties across liberty files: Rule 7309,1.869,0,0,0,0,0
7410,Ensure arcs present for given related_pins: Rule 7410,1.652,0,0,0,0,0
7503,Check for double defined voltage_map: Rule 7503,1.709,0,0,0,0,0
7505,Intra-Liberty Related PG Pin Check: Rule 7505,7.907,0,0,0,0,0
7510,Generic attribute conditions check: Rule 7510,9.626,0,0,0,0,0
7601,Cross-check presence of all tables in NLDM files: Rule 7601,6.204,0,0,0,0,0
7605:OptUserParameters,Check user defined parameters and values in liberty file: Rule 7605,1.212,0,0,0,0,0
7605:UserParameters,Check user defined parameters and values in liberty file: Rule 7605,1.501,0,0,0,0,0
7607,Check the presence of arcs on pins: Rule 7607,2.103,0,0,0,0,0
