rule_number,rule_name,duration,waive,setup_warning,warning,error,fatal
0,parsing: Rule 0,1404.651,0,0,1,0,0
1103,Check if the correct related power pins are used in a liberty file: Rule 1103,38.521,0,0,0,0,0
15105,Naming convention check for buses: Rule 15105,19.555,0,1,0,0,0
15106,Check for the presence of a file: Rule 15106,11.130,0,0,0,0,0
15112:Lef_pin_direction_check,Pin direction check: Rule 15112,10.635,0,0,0,0,0
15112:PinDirectionCheck,Pin direction check: Rule 15112,19.992,0,0,0,0,0
15118,Check power and ground pin names: Rule 15118,19.737,0,0,0,0,0
15122,Liberty vs UPF: Rule 15122,26.183,0,0,0,0,0
15133,Analog bidirectional pins check: Rule 15133,16.870,0,0,0,0,0
15206,Layer presence check: Rule 15206,10.379,0,0,0,0,0
15211,Pin location check: Rule 15211,152.282,0,0,0,0,0
15214,Polygon covered by BOUNDARY check: Rule 15214,12.515,0,0,0,0,0
15217,Pin width and length check: Rule 15217,11.796,0,0,0,0,0
15301,LEF CLASS check: Rule 15301,6.472,0,0,0,0,0
15302,LEF ORIGIN and SIZE check: Rule 15302,7.450,0,0,0,0,0
15304,LEF MACRO check: Rule 15304,8.020,0,0,0,0,0
15305,LEF HEADER check: Rule 15305,8.228,0,0,0,0,0
15306,LEF SYMMETRY check: Rule 15306,8.152,0,0,0,0,0
15308,LEF double PINS and rectangles check: Rule 15308,12.929,0,0,0,0,0
15315,LEF presence of sheet and detailed OBS layers check: Rule 15315,8.084,1,1,0,0,0
16002,compiles-lib-in-current-environment: Rule 16002,330.666,0,0,0,0,0
16015,Check-for-PIN-types-defined-in-attribute.xml: Rule 16015,7.831,0,0,0,0,0
16024,Check-for-ip2sd-error-messages: Rule 16024,8.089,0,0,6,0,0
16026,NDM-load-ability-check: Rule 16026,47.728,0,0,0,0,0
16029,Reports-UPF-sourcing-errors: Rule 16029,7.016,0,0,0,0,0
16048,Checks-attribute-value-in-attribute.XML: Rule 16048,9.622,0,0,1,0,0
16107,Liberty-file-naming-rule-check.: Rule 16107,20.619,0,0,0,0,0
16108,Analog-attribute-consistency-check: Rule 16108,7.819,0,0,1,0,0
16109,PSC-CSV-check: Rule 16109,20.645,0,0,0,4,0
16206,Hipspec-Compliance-check: Rule 16206,8.665,0,0,0,0,0
16215,Checks-that-pins-matching-the-bus-naming-convention-is-defined-within-buses: Rule 16215,17.244,0,0,0,0,0
16217,Flags-pins-that-have-illegal-related_pin-on-timing-arcs: Rule 16217,31.763,0,0,0,0,0
16225,Flags-errors-thrown-by-ship---swizzle-stage: Rule 16225,8.295,0,0,2,0,0
16227,Check-for-custom-cfs: Rule 16227,9.416,0,0,0,0,0
16350,Flags-absolute-links-within-a-directory: Rule 16350,9.024,0,0,0,0,0
16510,Generic-attribute-conditions-check: Rule 16510,33.211,0,1,0,0,0
16704,Runs-OCV-presence-checks: Rule 16704,87.704,0,0,0,0,0
16712,Flags-duplicate-pvts: Rule 16712,16.702,0,0,0,0,0
21,cell presence contents check: Rule 21,29.490,0,0,0,0,0
"31,32","pin quantity check: Rule 31,32",18.751,0,0,1,0,0
7309,Check pin properties across liberty files: Rule 7309,23.511,0,0,0,0,0
7410,Ensure arcs present for given related_pins: Rule 7410,21.024,0,0,0,0,0
7503,Check for double defined voltage_map: Rule 7503,22.521,0,0,0,0,0
7505,Intra-Liberty Related PG Pin Check: Rule 7505,22.699,0,0,0,0,0
7510,Generic attribute conditions check: Rule 7510,36.294,0,0,0,0,0
7601,Cross-check presence of all tables in NLDM files: Rule 7601,112.904,0,0,0,4528,0
7605:OptUserParameters,Check user defined parameters and values in liberty file: Rule 7605,16.938,0,0,0,0,0
7605:UserParameters,Check user defined parameters and values in liberty file: Rule 7605,16.838,0,0,0,0,0
7607,Check the presence of arcs on pins: Rule 7607,32.581,0,0,0,0,0
7708,Range check for ocv_sigma_cell_rise and ocv_sigma_cell_fall delay values: Rule 7708,89.414,0,0,0,0,0
7709,Range check for ocv_sigma_rise_transition and ocv_sigma_fall_transition values: Rule 7709,47.662,0,0,0,0,0
7710,Range check for ocv_sigma_rise_constraint and ocv_sigma_fall_constraint values: Rule 7710,43.941,0,0,0,12,0
