#############################################################################################
## Intel Confidential                                                                      ##
#############################################################################################
## Copyright 2023 Intel Corporation. The information contained herein is the proprietary   ##
## and confidential information of Intel or its licensors, and is supplied subject to, and ##
## may be used only in accordance with, previously executed agreements with Intel.         ##
## EXCEPT AS MAY OTHERWISE BE AGREED IN WRITING: (1) ALL MATERIALS FURNISHED BY INTEL      ##
## HEREUNDER ARE PROVIDED "AS IS" WITHOUT WARRANTY OF ANY KIND; (2) INTEL SPECIFICALLY     ##
## DISCLAIMS ANY WARRANTY OF NONINFRINGEMENT, FITNESS FOR A PARTICULAR PURPOSE OR          ##
## MERCHANTABILITY; AND (3) INTEL WILL NOT BE LIABLE FOR ANY COSTS OF PROCUREMENT OF       ##
## SUBSTITUTES, LOSS OF PROFITS, INTERRUPTION OF BUSINESS, OR FOR ANY OTHER SPECIAL,       ##
## CONSEQUENTIAL OR INCIDENTAL DAMAGES, HOWEVER CAUSED, WHETHER FOR BREACH OF WARRANTY,    ##
## CONTRACT, TORT, NEGLIGENCE, STRICT LIABILITY OR OTHERWISE.                              ##
#############################################################################################

########################################
## Datasheet Template Revision 2.1.6  ##
########################################

IP Tag Information
##############################################################
## & Cell_ID ip764hduspsr2048x39m8b2s0r2p0d0                ##
## & Cell_Type MemoryIP                                     ##
## & Date_Time Tue Mar 28 2023 19:11:51                     ##
## & Product c764hduspsr                                    ##
## & Tag_Spec 1.0                                           ##
## & Technology P1276.4                                     ##
## & Vendor Intel Corporation                               ##
## & Version r1.0.0                                         ##
## & _Memory_Name_Generated ip764hduspsr2048x39m8b2s0r2p0d0 ##
##############################################################

Order Information
##################################################
## BK = 2                                       ##
## CM = 8                                       ##
## NB = 39                                      ##
## NW = 2048                                    ##
## PME = 0                                      ##
## WBE = 0                                      ##
## memoryName = ip764hduspsr2048x39m8b2s0r2p0d0 ##
## redCol = 1                                   ##
## redRow = 1                                   ##
##################################################

Configuration Data
################################################################################################################################
# Parameter                       | Value                           | Unit | Description                                       #
#==============================================================================================================================#
# Technology                      | P1276.4                         |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Memory Type                     | HDUSPSR                         |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Compiler Name                   | c764hduspsr                     |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Compiler Version                | r1.0.0                          |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Ports                           | One Read/Write Port             |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Interface                       | Rising Edge Synchronous         |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Instance Name                   | ip764hduspsr2048x39m8b2s0r2p0d0 |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Instance Name Generated         | ip764hduspsr2048x39m8b2s0r2p0d0 |      |                                                   #
#------------------------------------------------------------------------------------------------------------------------------#
# Total Bit Count Incl Repair     | 82560                           | bits | Total bit count including repair bits             #
#------------------------------------------------------------------------------------------------------------------------------#
# Word Depth                      | 2048                            |      | Number of logical words (NW)                      #
#------------------------------------------------------------------------------------------------------------------------------#
# Word Width                      | 39                              |      | Number of logical bits per word (NB)              #
#------------------------------------------------------------------------------------------------------------------------------#
# Physical Word Depth             | 2064                            |      | Number of physical words including repair         #
#------------------------------------------------------------------------------------------------------------------------------#
# Physical Word Width             | 40                              |      | Number of physical bits per word including repair #
#------------------------------------------------------------------------------------------------------------------------------#
# Column Mux                      | 8                               |      | Column Mux Size (CM)                              #
#------------------------------------------------------------------------------------------------------------------------------#
# Banks                           | 2                               |      | Number of Banks (BK)                              #
#------------------------------------------------------------------------------------------------------------------------------#
# Center Decode                   | Yes                             |      | Center Decoder Enable                             #
#------------------------------------------------------------------------------------------------------------------------------#
# Bit Enabled Write               | No                              |      | Not Available (WBE)                               #
#------------------------------------------------------------------------------------------------------------------------------#
# Column Redundancy               | Yes                             |      | Column Redundancy Enable (redCol)                 #
#------------------------------------------------------------------------------------------------------------------------------#
# Row Redundancy                  | Yes                             |      | Row Redundancy Enable (redRow)                    #
