#RTL Parameter , Value , comment , owner , approver


########################################

#Port_name , PortWidth , Port_Direction, area , clock requirement , power domain , interface spec name , comment , owner , approver
ck_crystal_in , 1 , in, area , clock requirement , power domain , interface spec name , comment , owner , approver
ck_crystal_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
ckpll_ref_clk_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
ckpll_ref_sync_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
x12clk_in , 1 , in, area , clock requirement , power domain , interface spec name , comment , owner , approver
x12clk_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
x12clk_sync_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
x12clksync_in , 1 , in, area , clock requirement , power domain , interface spec name , comment , owner , approver
x3clk_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
x3clk_sync_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
x4clk_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
x4clk_sync_out , 1 , out, area , clock requirement , power domain , interface spec name , comment , owner , approver
########################################

 To Be Implemented


########################################
