           IP = SDGCLKDIST
      Project = FoxRiverHFIStormLake2
    Variation = clkreqaggr
    Milestone = RTL0P8
 Rule version = 2.08.00
Applicability = SIP
         Date = Wed Jul 27 21:04:53 2016
         User = prbhatt

 Override File = /nfs/sc/disks/sdg74_1110/prbhatt/globalclk-0p8zircon/tools/zirconqa/inputs/clkreqaggr_override_2.08.00.dat
 Applicability Questionnaire File = tools/zirconqa/inputs/clkreqaggr_applicability_2.08.00.dat
 Total of related N/A rules according to AppQuestionnaire File = 115

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver
Note: Total Rules Run excludes the N/A approved/pending/denied waivers

Category                 Pass  Fail        Approved Waivers  Pending Waivers  Denied Waivers  Approved N/A  Pending N/A  Denied N/A  Total Rules Run
-----------------------------------------------------------------------------------------------------------------------------------------------------
1 Build & Run            5     MH:3,R:3    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    11
10 MCP/FP                0     MH:2,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    2
11 RDL                   0     MH:1,R:1    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    2
12 Phys Design Enabling  17    MH:2,R:2    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    21
15 Review                1     MH:6,R:16   MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    23
17 RTL+Lint              5     MH:3,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    8
18 Security              1     MH:0,R:3    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    4
19 Simulation            4     MH:2,R:10   MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    16
2 CDC                    0     MH:2,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    2
20 SV TB                 0     MH:25,R:3   MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    28
21 VISA                  0     MH:1,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    1
24 Power                 2     MH:3,R:9    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    14
3 Collage                2     MH:1,R:6    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    9
4 DFt                    0     MH:4,R:2    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    6
5 Documentation          0     MH:5,R:3    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    8
6 Emulation/FPGA         2     MH:2,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    4
7 FEV                    7     MH:1,R:5    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    13
-----------------------------------------------------------------------------------------------------------------------------------------------------
Total                    46    MH:63,R:63  MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    172
-----------------------------------------------------------------------------------------------------------------------------------------------------

IPDS Score: 9%

Note: AUTO RULES SUMMARY: Pass: 46, Fail MH:28,R:18, Approved Waivers MH:0,R:0, Pending Waivers MH:0,R:0, Denied Waivers MH:0,R:0,  Approved N/A MH:0,R:0, Pending N/A MH:0,R:0, Denied N/A MH:0, R:0, Total: 92
Note: MANUAL RULES SUMMARY: Pass: 0, Fail MH:35,R:45, Approved Waivers MH:0,R:0, Pending Waivers MH:0,R:0,  Denied Waivers MH:0,R:0, Approved N/A MH:0,R:0, Pending N/A MH:0,R:0, Denied N/A MH:0,R:0, Total: 80

Auto Rules OVERRIDDEN to Manual
--------------------------------------------------------------------------------
Category  Rule  Name  Manual Result  Priority
----------------------------------------------
None

Rule      Type    POR  Category              Name                                                                    Result  Priority
--------------------------------------------------------------------------------------------------------------------------------------
1.10.a    Auto    YES  Build & Run           ACE required libraries must exist                                       PASS    Required
1.11.a    Auto    YES  Build & Run           ACE UDF contents must be re-usable                                      PASS    MustHave
1.12.a    Auto    YES  Build & Run           ACE support for power aware simulation must exist                       PASS    Required
1.14.a    Auto    YES  Build & Run           ACE VCS compilation must be clean                                       FAIL    MustHave
1.15.a    Auto    YES  Build & Run           ACE Verdi compilation must be clean                                     FAIL    Required
1.16.a    Manual  YES  Build & Run           Integration test list containing reusable tests for SoC integration...  FAIL    MustHave
1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS    Required
1.2.a     Auto    YES  Build & Run           All IPs, including subIPs, must be uniquified                           FAIL    MustHave
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  FAIL    Required
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  FAIL    Required
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              PASS    Required
10.104.a  Auto    YES  MCP/FP                Fishtail passing ( Structural  , False Path/ Multy Cycle checks)        FAIL    MustHave
10.333.a  Manual  YES  MCP/FP                Fishtail passing waivers file provided                                  FAIL    MustHave
11.273.b  Manual  YES  RDL                   All TDRs and STF regs documented in RDL                                 FAIL    MustHave
11.347.a  Manual  YES  RDL                   [TAP] Proper Specification has been provided                            FAIL    Required
12.118.a  Auto    YES  Phys Design Enabling  Exceptions among clock groups should be described in global_cross_c...  PASS    MustHave
12.120.a  Auto    YES  Phys Design Enabling  Any custom synthesis flow recipes must be delivered with IP drop an...  FAIL    MustHave
12.124.a  Auto    YES  Phys Design Enabling  Provide timing reports for review and quality checking.                 PASS    Required
12.124.b  Auto    YES  Phys Design Enabling  Synthesis results meet timing requirements for drop                     PASS    Required
12.275.a  Auto    YES  Phys Design Enabling  check_mv_design is run and free of errors.Warnings are understood a...  PASS    Required
12.275.b  Auto    YES  Phys Design Enabling  Syn run with UPF enabled                                                PASS    Required
12.276.a  Auto    YES  Phys Design Enabling  All inputs and outputs must have IO delay constraints with correct ...  PASS    MustHave
12.277.a  Auto    YES  Phys Design Enabling  All constraint files follow standard KIT conventions                    PASS    Required
12.277.b  Manual  YES  Phys Design Enabling  All DFX MCOs written and implemented                                    FAIL    Required
12.277.c  Auto    YES  Phys Design Enabling  Clock name should be a tcl variable and not hard coded in all const...  PASS    Required
12.279.a  Auto    YES  Phys Design Enabling  Only CTECH cells on clock paths are allowed.                            PASS    MustHave
12.287.a  Auto    YES  Phys Design Enabling  All I/Os are flopped                                                    FAIL    Required
12.292.a  Manual  YES  Phys Design Enabling  Top-level port and parameter changes are defined between releases       FAIL    MustHave
12.293.a  Auto    YES  Phys Design Enabling  The current_design command or any procedure using current_design do...  PASS    Required
12.293.b  Auto    YES  Phys Design Enabling  IP synthesized per drop at converged PVT/Guardband                      PASS    Required
12.293.c  Auto    YES  Phys Design Enabling  The block_setup.tcl file is clean	                                      PASS    Required
12.293.d  Auto    YES  Phys Design Enabling  rtllist.tcl matches RTL and netlist                                     PASS    Required
12.293.e  Auto    YES  Phys Design Enabling  Syn run free of errors                                                  PASS    Required
12.293.f  Auto    YES  Phys Design Enabling  No unclocked registers in DC Synthesis results                          PASS    Required
12.293.g  Auto    YES  Phys Design Enabling  Gate count numbers provided through design_qor report                   PASS    Required
12.6.a    Auto    YES  Phys Design Enabling  Must have a RTL list file for synthesis                                 PASS    Required
15.133.a  Manual  YES  Review                All functionality coded, including DFx, as defined in the appropria...  FAIL    MustHave
15.133.d  Manual  YES  Review                All STF IPs implemented as per HAS                                      FAIL    MustHave
15.133.h  Manual  YES  Review                DFt features in HAS coded and validated                                 FAIL    MustHave
15.133.i  Manual  YES  Review                All clocking requirements reviewed as per HAS                           FAIL    MustHave
15.148.a  Manual  YES  Review                IP uses HSD-ES setup for tracking bugs, PCRs, etc.                      FAIL    MustHave
15.150.a  Manual  YES  Review                NO-INIT signals/paths needed for X-prop and random corrupt modes (f...  FAIL    Required
15.159.a  Manual  YES  Review                Major areas of validation RISK from IP provider validation reviewed     FAIL    Required
15.160.a  Manual  YES  Review                New features and content changes from prior drop reviewed               FAIL    Required
