           IP = SDGCLKDIST
      Project = FoxRiverHFIStormLake2
    Variation = clkreqaggr
    Milestone = RTL0P8
 Rule version = 2.08.00
Applicability = SIP
         Date = Tue Aug 23 08:10:06 2016
         User = prbhatt

 Override File = /nfs/sc/disks/sdg74_1110/prbhatt/globalclk-0p8zircon/tools/zirconqa/inputs/clkreqaggr_override_2.08.00.dat
 Applicability Questionnaire File = tools/zirconqa/inputs/clkreqaggr_applicability_2.08.00.dat
 Total of related N/A rules according to AppQuestionnaire File = 115

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver
Note: Total Rules Run excludes the N/A approved/pending/denied waivers

Category                 Pass  Fail  Approved Waivers  Pending Waivers  Denied Waivers  Approved N/A  Pending N/A  Denied N/A  Total Rules Run
-----------------------------------------------------------------------------------------------------------------------------------------------
1 Build & Run            11    4     0                 0                0               0             0            0           15
10 MCP/FP                0     2     0                 0                0               0             0            0           2
11 RDL                   0     2     0                 0                0               0             0            0           2
12 Phys Design Enabling  18    3     0                 0                0               0             0            0           21
15 Review                1     22    0                 0                0               0             0            0           23
17 RTL+Lint              5     3     0                 0                0               0             0            0           8
18 Security              1     3     0                 0                0               0             0            0           4
19 Simulation            3     13    0                 0                0               0             0            0           16
2 CDC                    1     1     0                 0                0               0             0            0           2
20 SV TB                 3     25    0                 0                0               0             0            0           28
21 VISA                  0     1     0                 0                0               0             0            0           1
24 Power                 2     12    0                 0                0               0             0            0           14
3 Collage                4     5     0                 0                0               0             0            0           9
4 DFt                    0     6     0                 0                0               0             0            0           6
5 Documentation          0     8     0                 0                0               0             0            0           8
6 Emulation/FPGA         1     6     0                 0                0               0             0            0           7
7 FEV                    10    3     0                 0                0               0             0            0           13
-----------------------------------------------------------------------------------------------------------------------------------------------
Total                    60    119   0                 0                0               0             0            0           179
-----------------------------------------------------------------------------------------------------------------------------------------------

IPDS Score: 34%

Note: AUTO RULES SUMMARY: Pass: 60, Fail: 39, Approved Waivers: 0, Pending Waivers: 0, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 0, Denied N/A: 0, Total: 99
Note: MANUAL RULES SUMMARY: Pass: 0, Fail: 80, Approved Waivers: 0, Pending Waivers: 0, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 0, Denied N/A: 0, Total: 80

Auto Rules OVERRIDDEN to Manual
--------------------------------
Category  Rule  Name  Manual Result
------------------------------------
None

Rule      Type    POR  Category              Name                                                                    Result
----------------------------------------------------------------------------------------------------------------------------
1.10.a    Auto    YES  Build & Run           ACE required libraries must exist                                       PASS
1.11.a    Auto    YES  Build & Run           ACE UDF contents must be re-usable                                      PASS
1.12.a    Auto    YES  Build & Run           ACE support for power aware simulation must exist                       PASS
1.14.a    Auto    YES  Build & Run           ACE VCS compilation must be clean                                       PASS
1.15.a    Auto    YES  Build & Run           ACE Verdi compilation must be clean                                     FAIL
1.16.a    Manual  YES  Build & Run           Integration test list containing reusable tests for SoC integration...  FAIL
1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS
1.2.a     Auto    YES  Build & Run           All IPs, including subIPs, must be uniquified                           PASS
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  FAIL
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  FAIL
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              PASS
1.360.a   Auto    YES  Build & Run           Emulation RTL must pass VCS Compile (including Elaboration)             PASS
1.360.b   Auto    YES  Build & Run           Emulation RTL must pass basic health tests using VCS Simulation         PASS
1.361.a   Auto    YES  Build & Run           FPGA RTL  must pass VCS Compile (including Elaboration)                 PASS
1.361.b   Auto    YES  Build & Run           FPGA RTL must pass basic health tests using VCS Simulation              PASS
10.104.a  Auto    YES  MCP/FP                Fishtail passing ( Structural  , False Path/ Multy Cycle checks)        FAIL
10.333.a  Manual  YES  MCP/FP                Fishtail passing waivers file provided                                  FAIL
11.273.b  Manual  YES  RDL                   All TDRs and STF regs documented in RDL                                 FAIL
11.347.a  Manual  YES  RDL                   [TAP] Proper Specification has been provided                            FAIL
12.118.a  Auto    YES  Phys Design Enabling  Exceptions among clock groups should be described in global_cross_c...  PASS
12.120.a  Auto    YES  Phys Design Enabling  Any custom synthesis flow recipes must be delivered with IP drop an...  PASS
12.124.a  Auto    YES  Phys Design Enabling  Provide timing reports for review and quality checking.                 PASS
12.124.b  Auto    YES  Phys Design Enabling  Synthesis results meet timing requirements for drop                     PASS
12.275.a  Auto    YES  Phys Design Enabling  check_mv_design is run and free of errors.Warnings are understood a...  PASS
12.275.b  Auto    YES  Phys Design Enabling  Syn run with UPF enabled                                                PASS
12.276.a  Auto    YES  Phys Design Enabling  All inputs and outputs must have IO delay constraints with correct ...  PASS
12.277.a  Auto    YES  Phys Design Enabling  All constraint files follow standard KIT conventions                    PASS
