Category_id,Category,Index,Rule,Status,Type,POR
1,Build & Run,1.10.a,ACE libraries meant for SoC usage defined and exported.   Separate the RTL design and validation libraries.,NOT_RUN,Manual,Yes
1,Build & Run,1.11.a,"ACE collateral exists for the IP, and content is properly split into files meant for SoC integration versus files meant only for IP local usage",NOT_RUN,Manual,Yes
1,Build & Run,1.12.a,ACE support for power aware simulation exists,NOT_RUN,Manual,Yes
1,Build & Run,1.14.a,VCS compilation must pass elaboration on expected model,NOT_RUN,Auto,Yes
1,Build & Run,1.15.a,Vericom/UFE compilation must pass without errors on expected model and Verdi must be able to load the IP design,FAIL,Auto,Yes
1,Build & Run,1.16.a,Integration test list containing reusable tests for SoC integration delivered,NOT_RUN,Manual,Yes
1,Build & Run,1.17.a,"IP RTL+IP env must compile, including UPF in the SoC environment and pass basic health tests",NOT_RUN,Manual,No
1,Build & Run,1.19.a,"Shared validation libraries (sip_shared_lib) not exported in ACE, must be documented in integration guide",NOT_RUN,Manual,Yes
1,Build & Run,1.2.a,RTL and related integration collateral must be uniquified.  Includes all subIPs and top level.,NOT_RUN,Auto,Yes
1,Build & Run,1.270.a,IP must follow POR directory structure,NOT_RUN,Manual,Yes
1,Build & Run,1.316.a,RTL follows CTECH coding methodology,NOT_RUN,Manual,Yes
1,Build & Run,1.339.a,Build Audit must be run and is clean,NOT_RUN,Manual,No
1,Build & Run,1.360.a,Emulation RTL must pass VCS Compile (including Elaboration),PASS,Auto,Yes
1,Build & Run,1.360.b,Emulation RTL must pass basic health tests using VCS Simulation,NOT_RUN,Manual,Yes
1,Build & Run,1.361.a,FPGA RTL  must pass VCS Compile (including Elaboration),PASS,Auto,Yes
1,Build & Run,1.361.b,FPGA RTL must pass basic health tests using VCS Simulation ,NOT_RUN,Manual,Yes
1,Build & Run,1.9.a,Use defined tool versions,FAIL,Auto,Yes
1,Build & Run,1.InWay5.a,Documentation on VCS compile options delivered in vcsCompile.README for NLP/No NLP,DISABLED,Manual,No
10,MCP/FP,10.104.a,"Fishtail passing ( Structural  , False Path/ Multy Cycle checks) ",NOT_RUN,Auto,Yes
10,MCP/FP,10.333.a,Fishtail passing waivers file provided,NOT_RUN,Auto,Yes
10,MCP/FP,10.417.a,No new MCPs in design,DISABLED,Manual,Yes
11,RDL,11.105.a,[CR] RDL file delivered,NOT_RUN,Auto,Yes
11,RDL,11.105.b,[CR] RAL files delivered,NOT_RUN,Auto,Yes
11,RDL,11.107.a,[FUSE] RDL file delivered,NOT_RUN,Auto,Yes
11,RDL,11.107.b,[FUSE] RAL Files Delivered,NOT_RUN,Auto,Yes
11,RDL,11.111.a,[CR] RDL QualityChecker Run and Clean with Optional Waiver,NA,Auto,Yes
11,RDL,11.112.a,[FUSE+STRAP] RDL quality checks run,NA,Auto,Yes
11,RDL,11.168.a,All IPs should use the 1.0 Fuse Pull Completion Message Format,NOT_RUN,Manual,Yes
11,RDL,11.262.a,[TAP] RDL quality checks run,NA,Auto,Yes
11,RDL,11.263.a,[TAP] RDL verified against RTL,NOT_RUN,Manual,Yes
11,RDL,11.271.a,"[CR] RDL verified against RTL, using CREST",NA,Auto,Yes
11,RDL,11.271.b,"[CR] RDL verified against RTL, manually",NOT_RUN,Manual,Yes
11,RDL,11.272.a,[FUSE+STRAP] RDL verified against RTL,NOT_RUN,Manual,Yes
11,RDL,11.273.a,[TAP] RDL file delivered,NA,Auto,Yes
11,RDL,11.273.b,All TDRs and STF regs documented in RDL,NOT_RUN,Manual,Yes
11,RDL,11.273.c,[TAP] RAL files generated and delivered,NA,Auto,Yes
11,RDL,11.322.a,[CR] Proper resgister documentation has been provided,NOT_RUN,Manual,Yes
11,RDL,11.347.a,[TAP] Proper documentation has been provided,NOT_RUN,Manual,No
11,RDL,11.371.a,[FUSE+STRAP] Feature Based Fuse Compliance,NOT_RUN,Manual,Yes
11,RDL,11.372.a,[FUSE+STRAP] Complete IP Fuse Review Board review,NOT_RUN,Manual,Yes
11,RDL,11.373.a,[FUSE+STRAP] Waiver/Log Files Delivered,NA,Auto,Yes
11,RDL,11.379.a,[CR] OneSource Model Release,NA,Auto,Yes
11,RDL,11.380.a,[CR] OneSource Model QualityChecker Run and Clean with Optional Waiver,NOT_RUN,Auto,No
11,RDL,11.InWay13.a,XML generated by Nebulon delivered. ,DISABLED,Manual,Yes
12,Phys Design Enabling,12.118.a,Exceptions among clock groups should be described in global_cross_clk_groups.tcl,FAIL,Auto,Yes
12,Phys Design Enabling,12.120.a,Any custom synthesis flow recipes delivered with IP drop and documented in integration guide.,FAIL,Auto,Yes
12,Phys Design Enabling,12.124.a,Provide timing reports for review and quality checking.,NOT_RUN,Auto,Yes
12,Phys Design Enabling,12.124.b,Synthesis results meet timing requirements for drop,NOT_RUN,Auto,Yes
12,Phys Design Enabling,12.275.a,"""check_mv_design"" is run and free of errors.Warnings are understood and reviewed",FAIL,Auto,Yes
12,Phys Design Enabling,12.275.b,Syn run with UPF enabled,NA,Auto,Yes
