
===================
= RDT Status:  syn
===================

--------------------------------------  ------------  ------------  ------------
Stage                                     Status         Memory        Run Time
--------------------------------------  ------------  ------------  ------------
import_design                            DONE            960KB         00:01:33
   rdt_start                               DONE          0KB           00:00:00
   start_svf_vsdc                          DONE          0KB           00:00:00
   syn_import_design                       DONE          64KB          00:00:01
   syn_import_pla_cod                      DONE          0KB           00:00:00
   syn_import_gate_verilog                 DONE          0KB           00:00:01
   syn_import_mapped_ddc                   DONE          0KB           00:00:00
   syn_elab_and_link                       DONE          896KB         00:00:07
   syn_load_pushdown_connectivity          DONE          0KB           00:00:00
   syn_enable_register_merging             DONE          0KB           00:00:00
   extract_rtl_timing_override             DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_create_scenarios                    DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:24
   rdt_done                                DONE          0KB           00:01:00
upf                                      DONE            0KB           00:00:10
   rdt_start                               DONE          0KB           00:00:01
   start_svf_vsdc                          DONE          0KB           00:00:00
   syn_operating_conditions                DONE          0KB           00:00:00
   syn_dsync_flop_swap                     DONE          0KB           00:00:00
   syn_upf                                 DONE          0KB           00:00:09
   syn_multidie_virtual_units_upf_handling  DONE          0KB           00:00:00
   consolidate_domain_submodules           DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:00
   rdt_done                                DONE          0KB           00:00:00
saif                                     SKIPPED         0KB           00:00:00
   rdt_start                               SKIPPED       SKIPPED       SKIPPED
   start_svf_vsdc                          SKIPPED       SKIPPED       SKIPPED
   syn_saif                                SKIPPED       SKIPPED       SKIPPED
   syn_write_dc_saif                       SKIPPED       SKIPPED       SKIPPED
   stop_svf_vsdc                           SKIPPED       SKIPPED       SKIPPED
   rdt_run_checks                          SKIPPED       SKIPPED       SKIPPED
   syn_outputs                             SKIPPED       SKIPPED       SKIPPED
   rdt_done                                SKIPPED       SKIPPED       SKIPPED
uniquify                                 DONE            0KB           00:00:02
   rdt_start                               DONE          0KB           00:00:01
   start_svf_vsdc                          DONE          0KB           00:00:00
   syn_uniquify                            DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:01
   rdt_done                                DONE          0KB           00:00:00
ungroup                                  DONE            0KB           00:00:01
   rdt_start                               DONE          0KB           00:00:01
   start_svf_vsdc                          DONE          0KB           00:00:00
   syn_ungroup                             DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:00
   rdt_done                                DONE          0KB           00:00:00
floorplan                                DONE            64KB          00:00:02
   rdt_start                               DONE          0KB           00:00:00
   start_svf_vsdc                          DONE          0KB           00:00:00
   rdt_change_names                        DONE          64KB          00:00:01
   syn_floorplan                           DONE          0KB           00:00:00
   syn_voltage_areas                       DONE          0KB           00:00:00
   syn_pushdown_cells                      DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:00
   rdt_done                                DONE          0KB           00:00:01
constraints                              DONE            137.593MB     00:00:14
   rdt_start                               DONE          0KB           00:00:00
   start_svf_vsdc                          DONE          0KB           00:00:00
   rdt_change_names                        DONE          0KB           00:00:00
   rdt_timing_constraints                  DONE          0KB           00:00:00
   rdt_mbist_constraints                   DONE          0KB           00:00:00
   rdt_lbist_constraints                   DONE          0KB           00:00:00
   syn_constraints                         DONE          137.523MB     00:00:13
   rdt_constrain_visa_logic                DONE          0KB           00:00:00
   syn_area_constraints                    DONE          0KB           00:00:00
   syn_operating_conditions                DONE          0KB           00:00:00
   syn_power_constraints                   SKIPPED       SKIPPED       SKIPPED
   syn_saif_map                            DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          72KB          00:00:01
   rdt_done                                DONE          0KB           00:00:00
compile                                  DONE            226.650MB     00:02:06
   rdt_start                               DONE          0KB           00:00:01
   sd_set_multi_vt_libs                    DONE          0KB           00:00:09
   start_svf_vsdc                          DONE          0KB           00:00:00
   rdt_dont_use                            DONE          856KB         00:00:00
   syn_subset_library                      DONE          1.007MB       00:00:01
   syn_power_constraints                   SKIPPED       SKIPPED       SKIPPED
   syn_clock_gating                        DONE          0KB           00:00:00
   syn_ungroup                             DONE          0KB           00:00:00
   syn_compile                             DONE          224.808MB     00:01:54
   syn_vector_swap                         DONE          0KB           00:00:00
   syn_check_unmapped_logic                DONE          0KB           00:00:00
   rdt_change_names                        DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:01
   rdt_done                                DONE          0KB           00:00:00
insert_dft                               DONE            15.585MB      00:02:59
   rdt_start                               DONE          0KB           00:00:01
   sd_set_multi_vt_libs                    DONE          0KB           00:00:00
   start_svf_vsdc                          DONE          0KB           00:00:00
   rdt_dont_use                            DONE          0KB           00:00:01
   syn_insert_dft                          DONE          0KB           00:00:00
   syn_dft_fix_iso                         DONE          0KB           00:00:00
   rdt_change_names                        DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:00
   rdt_done                                DONE          15.585MB      00:02:57
compile_incr                             DONE            8.007MB       00:01:23
   rdt_start                               DONE          0KB           00:00:00
   sd_set_multi_vt_libs                    DONE          0KB           00:00:00
   start_svf_vsdc                          DONE          0KB           00:00:00
   rdt_dont_use                            DONE          0KB           00:00:00
   syn_subset_library                      DONE          0KB           00:00:00
   syn_power_constraints                   DONE          0KB           00:00:00
   syn_pre_place_iso_cells                 DONE          0KB           00:00:00
   syn_compile_incr                        DONE          8.007MB       00:01:14
   syn_optimize_area                       DONE          0KB           00:00:00
   rdt_change_names                        DONE          0KB           00:00:00
   stop_svf_vsdc                           DONE          0KB           00:00:00
   rdt_run_checks                          DONE          0KB           00:00:00
   syn_outputs                             DONE          0KB           00:00:00
   rdt_done                                DONE          0KB           00:00:09
syn_final                                  DONE          -128KB        00:01:00
   rdt_start                               DONE          0KB           00:00:01
   start_svf_vsdc                          DONE          0KB           00:00:00
   syn_power_constraints                   SKIPPED       SKIPPED       SKIPPED
   syn_syn_final                           DONE          0KB           00:00:00
   rdt_change_names                        DONE          0KB           00:00:00
