Name,Status,Termination,Guard,Bound,Cex Size,Trigger Passing Bound, Init Sequence Length, Liveness Loop Length
sbr.sbc_compliance0.sbc_ifc_compliance.AgentISM[1].FabricISM[0].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.AgentISM[1].FabricISM[1].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.AgentISM[1].FabricISM[3].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.AgentISM[3].FabricISM[1].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_credit_compliance.CreditsToReturn_Cover_1.CreditsToReturn_Cover_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_credit_compliance.CreditsToReturn_Cover_2.CreditsToReturn_Cover_2_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_credit_compliance.FlowCornerCover[0].SidebandInitCov_fig3_4_agent.SidebandInitCov_fig3_4_agent_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_credit_compliance.FlowCornerCover[0].immediateResponse_3_3_2_2.immediateResponse_3_3_2_2_COVER,covered,success,safety,-1,46,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_credit_compliance.FlowCornerCover[1].SidebandInitCov_fig3_4_agent.SidebandInitCov_fig3_4_agent_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_ism_compliance.AgentISMCover[1].ISMPM_002_CoverEachAgentISMState_Trigger.ISMPM_002_CoverEachAgentISMState_Trigger_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_ism_compliance.ISMPM_008_AgentMustReturnCreditsBeforeMovingTo_CREDIT_REQ_Trigger.ISMPM_008_AgentMustReturnCreditsBeforeMovingTo_CREDIT_REQ_Trigger_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_ism_compliance.ISMPM_046_AgentMustEnter_IDLE_REQ_CondsForEnteringIdleCease.ISMPM_046_AgentMustEnter_IDLE_REQ_CondsForEnteringIdleCease_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.agent_ism_compliance.ISMPM_046_AgentMustEnter_IDLE_REQ_Trigger.ISMPM_046_AgentMustEnter_IDLE_REQ_Trigger_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
