project,finishtime,gk_bundle_uuid,gk_release_id,gk_bundle_id,gk_event,gk_attempts,domain,starttime,stepping,stage_name,cluster,dut,successful,branch,submittime,predecessors,stage_type
srvr10nm,"02/07/2019 12:27:02",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:25:58",srvr10nm,cdc_wrapper_interface_check,rcf_widget_library,cdc_wrapper,1,rcf_widget_library,"02/07/2019 12:25:58",cdc_wrapper.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_cdc_wrapper_collage_lib,other
srvr10nm,"02/07/2019 12:27:05",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:25:58",srvr10nm,cdc_wrapper_parameter_check,rcf_widget_library,cdc_wrapper,1,rcf_widget_library,"02/07/2019 12:25:58",cdc_wrapper.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_cdc_wrapper_collage_lib,other
srvr10nm,"02/07/2019 12:27:49",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:26:40",srvr10nm,dft_reset_sync_interface_check,rcf_widget_library,dft_reset_sync,1,rcf_widget_library,"02/07/2019 12:26:40",dft_reset_sync.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_dft_reset_sync_collage_lib,other
srvr10nm,"02/07/2019 12:27:48",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:26:40",srvr10nm,dft_reset_sync_parameter_check,rcf_widget_library,dft_reset_sync,1,rcf_widget_library,"02/07/2019 12:26:40",dft_reset_sync.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_dft_reset_sync_collage_lib,other
srvr10nm,"02/07/2019 12:27:04",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:25:58",srvr10nm,fuse_hip_glue_interface_check,rcf_widget_library,fuse_hip_glue,1,rcf_widget_library,"02/07/2019 12:25:58",fuse_hip_glue.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_fuse_hip_glue_collage_lib,other
srvr10nm,"02/07/2019 12:26:38",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:25:58",srvr10nm,fuse_hip_glue_parameter_check,rcf_widget_library,fuse_hip_glue,1,rcf_widget_library,"02/07/2019 12:25:58",fuse_hip_glue.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_fuse_hip_glue_collage_lib,other
srvr10nm,"02/07/2019 12:27:04",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:25:58",srvr10nm,ip_disable_interface_check,rcf_widget_library,ip_disable,1,rcf_widget_library,"02/07/2019 12:25:58",ip_disable.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_ip_disable_collage_lib,other
srvr10nm,"02/07/2019 12:26:38",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:25:58",srvr10nm,ip_disable_parameter_check,rcf_widget_library,ip_disable,1,rcf_widget_library,"02/07/2019 12:25:58",ip_disable.rcfwl_build.bman.rcfwl.collage.collage_build_rcfwl_ip_disable_collage_lib,other
srvr10nm,"02/07/2019 12:54:30",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:30:00",srvr10nm,rcfwl_build_hdk_febe,rcf_widget_library,rcfwl,1,rcf_widget_library,"02/07/2019 12:30:00","dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_ip_disable,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_fuse_hip_glue,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_cdc_wrapper,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_ip_disable,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_cdc_wrapper,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_dft_reset_sync,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_dft_reset_sync,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_fuse_hip_glue",other
srvr10nm,"02/07/2019 12:54:10",98D5D540-2B15-11E9-B5B0-634E088F7335,35808,336467,release,,shdk74,"02/07/2019 12:30:00",srvr10nm,rcfwl_build_hdk_febe.global,rcf_widget_library,rcfwl,1,rcf_widget_library,"02/07/2019 12:30:00","dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_ip_disable,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_fuse_hip_glue,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_cdc_wrapper,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_ip_disable,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_cdc_wrapper,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.FLG.FLG_load_dft_reset_sync,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_dft_reset_sync,dft_reset_sync,cdc_wrapper,ip_disable,fuse_hip_glue.rcfwl_build.bman.rcfwl.vcs.elab_fuse_hip_glue",other
