project,finishtime,gk_bundle_uuid,gk_release_id,gk_bundle_id,gk_event,gk_attempts,domain,starttime,stepping,stage_name,cluster,dut,successful,branch,submittime,predecessors,stage_type
gk4,"02/06/2019 02:22:07",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:01",srvr10nm,cda_interface_check,globalclk,cda,1,globalclk,"02/06/2019 01:46:01",cda.globalclk_build.bman.globalclk.collage.collage_build_gclk_cda_collage_lib,other
gk4,"02/06/2019 02:22:08",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:01",srvr10nm,clkdist_mux_interface_check,globalclk,clkdist_mux,1,globalclk,"02/06/2019 01:46:01",clkdist_mux.globalclk_build.bman.globalclk.collage.collage_build_gclk_clkdist_mux_rtl_lib,other
gk4,"02/06/2019 02:23:50",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:47:46",srvr10nm,clkdist_repeater_interface_check,globalclk,clkdist_repeater,1,globalclk,"02/06/2019 01:47:46",clkdist_repeater.globalclk_build.bman.globalclk.collage.collage_build_gclk_clkdist_repeater_rtl_lib,other
gk4,"02/06/2019 02:23:50",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:47:46",srvr10nm,clkdist_repeater_parameter_check,globalclk,clkdist_repeater,1,globalclk,"02/06/2019 01:47:46",clkdist_repeater.globalclk_build.bman.globalclk.collage.collage_build_gclk_clkdist_repeater_rtl_lib,other
gk4,"02/06/2019 02:23:29",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:28",srvr10nm,clkreqaggr_interface_check,globalclk,clkreqaggr,1,globalclk,"02/06/2019 01:46:28",clkreqaggr.globalclk_build.bman.globalclk.collage.collage_build_gclk_clkreqaggr_rtl_lib,other
gk4,"02/06/2019 02:23:29",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:28",srvr10nm,clkreqaggr_parameter_check,globalclk,clkreqaggr,1,globalclk,"02/06/2019 01:46:28",clkreqaggr.globalclk_build.bman.globalclk.collage.collage_build_gclk_clkreqaggr_rtl_lib,other
gk4,"02/06/2019 02:22:07",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:01",srvr10nm,divsync_gen_interface_check,globalclk,divsync_gen,1,globalclk,"02/06/2019 01:46:01",divsync_gen.globalclk_build.bman.globalclk.collage.collage_build_gclk_divsync_gen_rtl_lib,other
gk4,"02/06/2019 02:22:07",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:01",srvr10nm,divsync_gen_parameter_check,globalclk,divsync_gen,1,globalclk,"02/06/2019 01:46:01",divsync_gen.globalclk_build.bman.globalclk.collage.collage_build_gclk_divsync_gen_rtl_lib,other
gk4,"02/06/2019 02:22:07",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:46:01",srvr10nm,gclk_make_clk_cda_parameter_check,globalclk,cda,1,globalclk,"02/06/2019 01:46:01",cda.globalclk_build.bman.globalclk.collage.collage_build_gclk_cda_collage_lib,other
gk4,"02/06/2019 02:23:49",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:47:46",srvr10nm,glitchfree_clkmux_interface_check,globalclk,glitchfree_clkmux,1,globalclk,"02/06/2019 01:47:46",glitchfree_clkmux.globalclk_build.bman.globalclk.collage.collage_build_gclk_glitchfree_clkmux_rtl_lib,other
gk4,"02/06/2019 02:23:50",84B033A4-29F2-11E9-ABAD-D436088F7335,35681,334802,release,,shdk74,"02/06/2019 01:47:46",srvr10nm,glitchfree_clkmux_parameter_check,globalclk,glitchfree_clkmux,1,globalclk,"02/06/2019 01:47:46",glitchfree_clkmux.globalclk_build.bman.globalclk.collage.collage_build_gclk_glitchfree_clkmux_rtl_lib,other
