           IP = SDGCLKDIST
      Project = CannonLakeSPXCC
    Variation = pclkdist
    Milestone = RTL0P5
 Rule version = 15.13.0
Applicability = SIP
         Date = Wed Jan  6 11:28:17 2016
         User = prbhatt

 Override File = /nfs/sc/disks/sdg74_0309/prbhatt/globalclk-zircon-ww49.5/tools/zirconqa/pclkdist_override_15.13.0.dat
 Applicability Questionnaire File = tools/zirconqa/pclkdist_applicability_15.13.0.dat
 Total of related N/A rules according to AppQuestionnaire File = 163

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver
Note: Total Rules Run excludes the N/A approved/pending/denied waivers

Category                 Pass  Fail  Approved Waivers  Pending Waivers  Denied Waivers  Approved N/A  Pending N/A  Denied N/A  Total Rules Run
-----------------------------------------------------------------------------------------------------------------------------------------------
1 Build & Run            5     4     0                 0                0               0             0            0           9
11 RDL                   0     1     0                 0                0               0             0            0           1
12 Phys Design Enabling  0     15    0                 0                0               0             0            0           15
13 Power Intent          0     8     0                 0                0               0             0            0           8
14 Power Lint            3     1     0                 0                0               0             0            0           4
15 Review                1     12    0                 0                0               0             0            0           13
17 RTL+Lint              5     3     0                 0                0               0             0            0           8
18 Security              0     3     0                 0                0               0             0            0           3
19 Simulation            3     7     0                 0                0               0             0            0           10
2 CDC                    0     1     0                 0                0               0             0            0           1
20 SV TB                 0     21    0                 0                0               0             0            0           21
21 VISA                  0     1     0                 0                0               0             0            0           1
3 Collage                4     2     0                 0                0               0             0            0           6
4 DFt                    0     3     0                 0                0               0             0            0           3
5 Documentation          0     6     0                 0                0               0             0            0           6
6 Emulation/FPGA         2     4     0                 0                0               0             0            0           6
7 FEV                    0     5     0                 0                0               0             0            0           5
-----------------------------------------------------------------------------------------------------------------------------------------------
Total                    23    97    0                 0                0               0             0            0           120
-----------------------------------------------------------------------------------------------------------------------------------------------

IPDS Score: 19%

Note: AUTO RULES SUMMARY: Pass: 23, Fail: 47, Approved Waivers: 0, Pending Waivers: 0, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 0, Denied N/A: 0, Total: 70
Note: MANUAL RULES SUMMARY: Pass: 0, Fail: 50, Approved Waivers: 0, Pending Waivers: 0, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 0, Denied N/A: 0, Total: 50

Auto Rules OVERRIDDEN to Manual
--------------------------------
Category  Rule  Name  Manual Result
------------------------------------
None

Rule      Type    POR  Category              Name                                                                    Result
----------------------------------------------------------------------------------------------------------------------------
1.10.a    Auto    YES  Build & Run           ACE required libraries must exist                                       PASS
1.11.a    Auto    YES  Build & Run           ACE UDF contents must be re-usable                                      PASS
1.12.a    Auto    YES  Build & Run           ACE support for power aware simulation must exist                       PASS
1.16.a    Manual  YES  Build & Run           Integration test list containing reusable tests for SoC integration...  FAIL
1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS
1.2.a     Auto    YES  Build & Run           All sub-IPs must be uniquified                                          PASS
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  FAIL
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  FAIL
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              FAIL
11.273.b  Manual  YES  RDL                   All TDRs and STF regs documented in RDL                                 FAIL
12.118.a  Auto    YES  Phys Design Enabling  Exceptions among clock groups should be described in global_cross_c...  FAIL
12.124.a  Auto    YES  Phys Design Enabling  Provide timing reports for review and quality checking.                 FAIL
12.124.b  Auto    YES  Phys Design Enabling  Synthesis results meet timing requirements for drop                     FAIL
12.275.a  Auto    YES  Phys Design Enabling  check_mv_design is run and free of errors.Warnings are understood a...  FAIL
12.275.b  Auto    YES  Phys Design Enabling  Syn run with UPF enabled                                                FAIL
12.276.a  Auto    YES  Phys Design Enabling  All inputs and outputs must have IO delay constraints with correct ...  FAIL
12.279.a  Auto    YES  Phys Design Enabling  Only CTECH cells on clock paths are allowed.                            FAIL
12.287.a  Auto    YES  Phys Design Enabling  All I/Os are flopped                                                    FAIL
12.293.a  Auto    YES  Phys Design Enabling  The current_design command or any procedure using current_design do...  FAIL
12.293.b  Auto    YES  Phys Design Enabling  IP synthesized per drop at converged PVT/Guardband                      FAIL
12.293.c  Auto    YES  Phys Design Enabling  The block_setup.tcl file is clean	                                      FAIL
12.293.d  Auto    YES  Phys Design Enabling  rtllist.tcl matches RTL and netlist                                     FAIL
12.293.e  Auto    YES  Phys Design Enabling  Syn run free of errors                                                  FAIL
12.293.f  Auto    YES  Phys Design Enabling  No unclocked registers in DC Synthesis results                          FAIL
12.293.g  Auto    YES  Phys Design Enabling  Gate count numbers provided through design_qor report                   FAIL
13.130.a  Manual  YES  Power Intent          UPF including sub blocks using load_upf                                 FAIL
13.302.a  Manual  YES  Power Intent          Power Enable and acknoledgement port names defined                      FAIL
