           IP = SDGCLKDIST
      Project = FoxRiverHFIStormLake2
    Variation = pccdu 
    Milestone = RTL0P8
 Rule version = 2.08.00
Applicability = SIP
         Date = Tue Aug 23 08:38:41 2016
         User = prbhatt

 Override File = /nfs/sc/disks/sdg74_1110/prbhatt/globalclk-0p8zircon/tools/zirconqa/inputs/pccdu_override_2.08.00.dat
 Applicability Questionnaire File = No applicability questionnaire file used in this run
 Total of related N/A rules according to AppQuestionnaire File = 0

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver
Note: Total Rules Run excludes the N/A approved/pending/denied waivers

Category                 Pass  Fail  Approved Waivers  Pending Waivers  Denied Waivers  Approved N/A  Pending N/A  Denied N/A  Total Rules Run
-----------------------------------------------------------------------------------------------------------------------------------------------
1 Build & Run            11    5     0                 0                0               0             0            0           16
10 MCP/FP                0     2     0                 0                0               0             0            0           2
11 RDL                   0     17    0                 0                0               0             0            0           17
12 Phys Design Enabling  17    6     0                 0                0               0             0            0           23
15 Review                1     25    0                 0                0               0             0            0           26
17 RTL+Lint              5     3     0                 0                0               0             0            0           8
18 Security              1     3     0                 0                0               0             0            0           4
19 Simulation            3     18    0                 0                0               0             0            0           21
2 CDC                    1     1     0                 0                0               0             0            0           2
20 SV TB                 3     25    0                 0                0               0             0            0           28
21 VISA                  0     29    0                 0                0               0             0            0           29
24 Power                 2     12    0                 0                0               0             0            0           14
3 Collage                4     16    0                 0                0               0             0            0           20
4 DFt                    0     28    0                 0                0               0             0            0           28
5 Documentation          0     11    0                 0                0               0             0            0           11
6 Emulation/FPGA         1     6     0                 0                0               0             0            0           7
7 FEV                    10    3     0                 0                0               0             0            0           13
-----------------------------------------------------------------------------------------------------------------------------------------------
Total                    59    210   0                 0                0               0             0            0           269
-----------------------------------------------------------------------------------------------------------------------------------------------

IPDS Score: 22%

Note: AUTO RULES SUMMARY: Pass: 59, Fail: 82, Approved Waivers: 0, Pending Waivers: 0, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 0, Denied N/A: 0, Total: 141
Note: MANUAL RULES SUMMARY: Pass: 0, Fail: 128, Approved Waivers: 0, Pending Waivers: 0, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 0, Denied N/A: 0, Total: 128

Auto Rules OVERRIDDEN to Manual
--------------------------------
Category  Rule  Name  Manual Result
------------------------------------
None

Rule      Type    POR  Category              Name                                                                    Result
----------------------------------------------------------------------------------------------------------------------------
1.10.a    Auto    YES  Build & Run           ACE required libraries must exist                                       PASS
1.11.a    Auto    YES  Build & Run           ACE UDF contents must be re-usable                                      PASS
1.12.a    Auto    YES  Build & Run           ACE support for power aware simulation must exist                       PASS
1.14.a    Auto    YES  Build & Run           ACE VCS compilation must be clean                                       PASS
1.15.a    Auto    YES  Build & Run           ACE Verdi compilation must be clean                                     FAIL
1.16.a    Manual  YES  Build & Run           Integration test list containing reusable tests for SoC integration...  FAIL
1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS
1.2.a     Auto    YES  Build & Run           All IPs, including subIPs, must be uniquified                           PASS
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  FAIL
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  FAIL
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              PASS
1.339.a   Auto    YES  Build & Run           BuildAudit must be run                                                  FAIL
1.360.a   Auto    YES  Build & Run           Emulation RTL must pass VCS Compile (including Elaboration)             PASS
1.360.b   Auto    YES  Build & Run           Emulation RTL must pass basic health tests using VCS Simulation         PASS
1.361.a   Auto    YES  Build & Run           FPGA RTL  must pass VCS Compile (including Elaboration)                 PASS
1.361.b   Auto    YES  Build & Run           FPGA RTL must pass basic health tests using VCS Simulation              PASS
10.104.a  Auto    YES  MCP/FP                Fishtail passing ( Structural  , False Path/ Multy Cycle checks)        FAIL
10.333.a  Manual  YES  MCP/FP                Fishtail passing waivers file provided                                  FAIL
11.105.a  Auto    YES  RDL                   [CR] RDL file delivered                                                 FAIL
11.105.b  Auto    YES  RDL                   [CR] RAL files delivered                                                FAIL
11.107.a  Auto    YES  RDL                   [FUSE] RDL file delivered                                               FAIL
11.107.b  Auto    YES  RDL                   [FUSE] RAL files delivered                                              FAIL
11.111.a  Auto    YES  RDL                   [CR] RDL quality checks run                                             FAIL
11.112.a  Manual  YES  RDL                   [FUSE+STRAP] RDL quality checks run                                     FAIL
11.168.a  Auto    YES  RDL                   IPs should use Fuse Pull Completion Message Format                      FAIL
11.262.a  Manual  YES  RDL                   [TAP] RDL Quality Checks Run                                            FAIL
11.263.a  Manual  YES  RDL                   [TAP] RDL verified against RTL                                          FAIL
11.271.a  Manual  YES  RDL                   [CR] RDL verified against RTL                                           FAIL
