           IP = SDGCLKDIST
      Project = CannonLakeSPXCC
    Variation = refclkdist
    Milestone = RTL0P5
 Rule version = 15.13.0
Applicability = SIP
         Date = Wed Jan 13 11:58:46 2016
         User = prbhatt

 Override File = /nfs/sc/disks/sdg74_0309/prbhatt/globalclk-zircon-ww49.5/tools/zirconqa/refclkdist_override_15.13.0.dat
 Applicability Questionnaire File = tools/zirconqa/refclkdist_applicability_15.13.0.dat
 Total of related N/A rules according to AppQuestionnaire File = 164

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver
Note: Total Rules Run excludes the N/A approved/pending/denied waivers

Category                 Pass  Fail  Approved Waivers  Pending Waivers  Denied Waivers  Approved N/A  Pending N/A  Denied N/A  Total Rules Run
-----------------------------------------------------------------------------------------------------------------------------------------------
1 Build & Run            8     0     0                 0                0               0             1            0           8
11 RDL                   0     0     0                 0                0               0             1            0           0
12 Phys Design Enabling  12    2     0                 1                0               0             0            0           15
13 Power Intent          5     0     0                 0                0               0             3            0           5
14 Power Lint            3     0     0                 0                0               0             1            0           3
15 Review                9     0     0                 0                0               0             4            0           9
17 RTL+Lint              6     0     0                 2                0               0             0            0           8
18 Security              3     0     0                 0                0               0             0            0           3
19 Simulation            5     0     0                 0                0               0             5            0           5
2 CDC                    0     1     0                 0                0               0             0            0           1
20 SV TB                 0     0     0                 0                0               0             21           0           0
21 VISA                  0     0     0                 0                0               0             1            0           0
3 Collage                4     0     0                 0                0               0             2            0           4
4 DFt                    0     0     0                 0                0               0             3            0           0
5 Documentation          4     0     0                 0                0               0             2            0           4
6 Emulation/FPGA         4     1     0                 0                0               0             0            0           5
7 FEV                    4     1     0                 0                0               0             0            0           5
-----------------------------------------------------------------------------------------------------------------------------------------------
Total                    67    5     0                 3                0               0             44           0           75
-----------------------------------------------------------------------------------------------------------------------------------------------

IPDS Score: 89%

Note: AUTO RULES SUMMARY: Pass: 46, Fail: 4, Approved Waivers: 0, Pending Waivers: 2, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 15, Denied N/A: 0, Total: 67
Note: MANUAL RULES SUMMARY: Pass: 21, Fail: 1, Approved Waivers: 0, Pending Waivers: 1, Denied Waivers: 0, Approved N/A: 0, Pending N/A: 29, Denied N/A: 0, Total: 52

Auto Rules OVERRIDDEN to Manual
--------------------------------
Category         Rule    Name                                               Manual Result
------------------------------------------------------------------------------------------
5 Documentation  5.81.a  HAS delivered, follows template                    DONE
5 Documentation  5.83.a  Integration guide delivered, follows template      DONE
5 Documentation  5.86.a  Must use the required documentation process        NOT_STARTED
5 Documentation  5.88.a  Product Brief delivered, and must follow template  DONE

Rule      Type    POR  Category              Name                                                                    Result
------------------------------------------------------------------------------------------------------------------------------------------
1.10.a    Auto    YES  Build & Run           ACE required libraries must exist                                       PASS
1.11.a    Auto    YES  Build & Run           ACE UDF contents must be re-usable                                      PASS
1.12.a    Auto    YES  Build & Run           ACE support for power aware simulation must exist                       PASS
1.16.a    Manual  YES  Build & Run           Integration test list containing reusable tests for SoC integration...  N/A PENDING 99033
1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS
1.2.a     Auto    YES  Build & Run           All sub-IPs must be uniquified                                          PASS
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  PASS
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  PASS
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              PASS
11.273.b  Manual  YES  RDL                   All TDRs and STF regs documented in RDL                                 N/A PENDING 99037
12.118.a  Auto    YES  Phys Design Enabling  Exceptions among clock groups should be described in global_cross_c...  PASS
12.124.a  Auto    YES  Phys Design Enabling  Provide timing reports for review and quality checking.                 PASS
12.124.b  Auto    YES  Phys Design Enabling  Synthesis results meet timing requirements for drop                     PASS
12.275.a  Auto    YES  Phys Design Enabling  check_mv_design is run and free of errors.Warnings are understood a...  PASS
12.275.b  Auto    YES  Phys Design Enabling  Syn run with UPF enabled                                                PASS
12.276.a  Auto    YES  Phys Design Enabling  All inputs and outputs must have IO delay constraints with correct ...  FAIL
12.279.a  Auto    YES  Phys Design Enabling  Only CTECH cells on clock paths are allowed.                            PASS
12.287.a  Auto    YES  Phys Design Enabling  All I/Os are flopped                                                    WAIVER PENDING 99519
12.293.a  Auto    YES  Phys Design Enabling  The current_design command or any procedure using current_design do...  PASS
12.293.b  Auto    YES  Phys Design Enabling  IP synthesized per drop at converged PVT/Guardband                      PASS
12.293.c  Auto    YES  Phys Design Enabling  The block_setup.tcl file is clean	                                      PASS
12.293.d  Auto    YES  Phys Design Enabling  rtllist.tcl matches RTL and netlist                                     PASS
12.293.e  Auto    YES  Phys Design Enabling  Syn run free of errors                                                  PASS
12.293.f  Auto    YES  Phys Design Enabling  No unclocked registers in DC Synthesis results                          FAIL
12.293.g  Auto    YES  Phys Design Enabling  Gate count numbers provided through design_qor report                   PASS
13.130.a  Manual  YES  Power Intent          UPF including sub blocks using load_upf                                 N/A PENDING 99604
13.302.a  Manual  YES  Power Intent          Power Enable and acknoledgement port names defined                      N/A PENDING 99605
13.306.a  Manual  YES  Power Intent          Early UPF requirements met: Power State Table, Power Domain, and St...  PASS
13.306.b  Manual  YES  Power Intent          UPF file(s) are appropriate for SoC                                     PASS
